episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
390000,16659.5,271599.7,386944,243911,99.7000,99.1000,97.6000,93.6500,70.8500,0.0000,219727.14,398.21,0,0,0
392000,16744.4,270263.4,583800,243917,99.9000,99.2000,97.2500,92.4500,70.0000,0.0500,219229.35,401.45,0,0,0
394000,16829.8,270895.0,387108,243918,99.7500,99.4500,97.8000,94.1000,70.6000,0.0000,219695.76,400.66,0,0,0
396000,16915.2,271478.8,518632,243922,99.9000,99.5000,97.4000,93.0500,70.9000,0.1000,219505.01,399.09,0,0,0
398000,16999.5,268819.0,567152,243930,99.8000,99.4500,97.4500,92.8500,70.3000,0.1000,219729.55,402.04,0,0,0
400000,17084.9,270036.1,531588,243927,99.8500,99.1500,97.2000,92.3500,70.3000,0.2000,219405.57,399.67,0,0,0
402000,17170.3,267296.8,557412,243913,99.8000,99.3500,97.2000,93.5500,68.8000,0.1500,219951.90,402.61,0,0,0
404000,17255.9,270606.3,528084,243911,99.8000,99.4000,97.8000,93.7000,69.5000,0.1000,219441.38,404.13,0,0,0
406000,17341.3,272819.9,565336,243920,99.9000,99.3000,98.1500,93.5000,71.2500,0.1000,219219.66,404.28,0,0,0
408000,17428.2,274585.0,584064,243915,99.9500,99.3500,97.5500,93.4500,72.4000,0.1000,219196.96,401.84,0,0,0
410000,17514.4,275199.4,386488,243921,99.9000,99.2500,97.0500,93.0000,73.3500,0.0000,218966.50,403.34,0,0,0
412000,17601.1,271134.3,532300,243906,99.8500,99.3000,98.4000,93.2500,70.5500,0.1500,219730.18,397.52,0,0,0
414000,17686.9,272173.4,529116,243906,99.9500,99.4000,97.7500,93.5000,71.3000,0.1000,219516.04,402.33,0,0,0
416000,17773.0,274497.9,387512,243911,99.8000,99.0000,97.2000,93.0000,72.7500,0.0000,219192.16,399.33,0,0,0
418000,17860.8,273609.8,387128,243891,99.7500,98.9500,97.5000,93.5000,71.0000,0.0000,219317.25,398.56,0,0,0
